need
how
interested
can't find
try
wondering
should I
struggle
have trouble
anyone have
asking
asked
problem
is welcome
still waiting
what
has anyone
does this mean
not found
do you think
demand
want
motivation
motive
penury
necessitate
ask
require
take
involve
interested
concern
worry
concerned
attempt
seek
test
prove
wonder
question
questioning
request
expect
trouble
